"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AAPremlall: ""I’m in a burning building, worried about getting shot."" -@SaulWilliams http://t.co/zXGLP8TjJ7 #BaltimoreRiots #BaltimoreUp…",FALSE,0,NA,2015-05-05 18:40:25,FALSE,NA,"595659330680131585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","N7IRL",3,TRUE,FALSE,NA,NA
"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE",FALSE,0,NA,2015-05-05 18:40:25,FALSE,NA,"595659328658497536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uwsp46",384,TRUE,FALSE,NA,NA
"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE",FALSE,0,NA,2015-05-05 18:40:23,FALSE,NA,"595659318562807808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vicoopkir",384,TRUE,FALSE,NA,NA
"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…",FALSE,0,NA,2015-05-05 18:40:21,FALSE,NA,"595659310593638400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","canthavepudding",156,TRUE,FALSE,NA,NA
"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE",FALSE,0,NA,2015-05-05 18:40:14,FALSE,NA,"595659284404379649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","digiteri",384,TRUE,FALSE,NA,NA
"RT @deray: Remember, this was the headline. We're not the only ones who think he got shot. #BaltimoreUprising http://t.co/qmhUeciQgs",FALSE,0,NA,2015-05-05 18:40:13,FALSE,NA,"595659278050074624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOLDTIDES",1759,TRUE,FALSE,NA,NA
"#baltimore #BaltimoreUprising smh http://t.co/k4CYlm99Hc",FALSE,0,NA,2015-05-05 18:40:05,FALSE,NA,"595659246286598144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustTypeJoe",0,FALSE,FALSE,NA,NA
"RT @ktanaka13: #BaltimoreUprising http://t.co/5BLvNwWXhh",FALSE,0,NA,2015-05-05 18:40:04,FALSE,NA,"595659239814766593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","savagestu",14,TRUE,FALSE,NA,NA
"RT @deray: And here is a picture that someone just texted me. Penn and North. #BaltimoreUprising http://t.co/9ThwUAbCHG",FALSE,0,NA,2015-05-05 18:39:38,FALSE,NA,"595659132268638210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","favianna",489,TRUE,FALSE,NA,NA
"Photoset: onevagabond: Solidarity with #BaltimoreUprising from Greece, Sweden, UK, Spain. (via TumbleOn) http://t.co/QpubadcVqf",FALSE,0,NA,2015-05-05 18:39:32,FALSE,NA,"595659106725318656",NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","UrbanAssMatrix",0,FALSE,FALSE,NA,NA
"RT @truthout: Don't Call It a Curfew: Martial Law in the United States http://t.co/9Shkoggmd9 @Sheeyahshee #BaltimoreUprising",FALSE,0,NA,2015-05-05 18:39:29,FALSE,NA,"595659094893166595",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","InI_versal",19,TRUE,FALSE,NA,NA
"RT @LeahR77: Hey Al Can You Help Me Out Here?? #WhyImNotVotingForHillary  #BaltimoreUprising #PJNET #ClintonCash http://t.co/ZbcjFgUBgA",FALSE,0,NA,2015-05-05 18:39:29,FALSE,NA,"595659093328658432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wurlybird27",457,TRUE,FALSE,NA,NA
"#QoLConference we must measure QoL in U.S. Review policies in Baltimore to educate - train our youth for a life #BaltimoreUprising",FALSE,0,NA,2015-05-05 18:38:53,FALSE,NA,"595658944317620225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FoodDrD",0,FALSE,FALSE,NA,NA
"HELP LOCATE  2 TERRORIST = #BaltimoreUprising 
#Baltimore CITY HALL FLAG THEFT/BURN + CVS FIRE STARTER http://t.co/0eauc4XcXn",FALSE,0,NA,2015-05-05 18:38:40,FALSE,NA,"595658887690321920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DoxingRx",1,FALSE,FALSE,NA,NA
"RT @AAPremlall: ""I’m in a burning building, worried about getting shot."" -@SaulWilliams http://t.co/zXGLP8TjJ7 #BaltimoreRiots #BaltimoreUp…",FALSE,0,NA,2015-05-05 18:38:40,FALSE,NA,"595658886960566273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Grypt666",3,TRUE,FALSE,NA,NA
"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…",FALSE,0,NA,2015-05-05 18:38:26,FALSE,NA,"595658828768772096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MadBlackWoman",3,TRUE,FALSE,NA,NA
"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/hVYqgY6hFf",FALSE,0,NA,2015-05-05 18:38:22,FALSE,NA,"595658814017372162",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB",FALSE,0,NA,2015-05-05 18:38:18,FALSE,NA,"595658794778103808",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jmlandry321",611,TRUE,FALSE,NA,NA
"RT @unitedworkers: #BaltimoreUprising more on what's next #poverty #jobs #fairdevelopment : http://t.co/Db5Zrlas8p",FALSE,0,NA,2015-05-05 18:38:16,FALSE,NA,"595658786146254849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClaytonCteleSUR",1,TRUE,FALSE,NA,NA
"RT @LeahRBoss: Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #Ba…",FALSE,0,NA,2015-05-05 18:38:10,FALSE,NA,"595658764470112256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaveDoom2008",4,TRUE,FALSE,NA,NA
"RT @CCN_Updates: VIDEO: 1000s Take The Streets! The Real #BaltimoreUprising, via @MintPressNews &amp; @seannevins http://t.co/z3YaEIaEJk http:/…",FALSE,0,NA,2015-05-05 18:38:09,FALSE,NA,"595658759260766208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KitOConnell",5,TRUE,FALSE,NA,NA
"RT @righttoprotest: couple of hundred gathered now outside the US embassy in London for solidarity demo with #BaltimoreUprising http://t.co…",FALSE,0,NA,2015-05-05 18:38:02,FALSE,NA,"595658728751374338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jackalsilva",48,TRUE,FALSE,NA,NA
