"","score","text"
"112",0,"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…"
"113",-4,"RT @dengarypoet: beneath Baltimore's blemish 
an old, angry tumor still grows-- 
denial can be deadly 
 
#BaltimoreUprising #BaltimoreRiots…"
"114",-1,"I followed a lot of Twitter feeds to keep track of #BaltimoreUprising and at this point at least half have jumped the shark"
"115",2,"RT @TheFinalCall: Street organizations work for peace http://t.co/mrc7xGpQy7 #BaltimoreUprising"
"116",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"117",1,"RT @righttoprotest: couple of hundred gathered now outside the US embassy in London for solidarity demo with #BaltimoreUprising http://t.co…"
"118",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"119",-1,"#BaltimoreUprising The drug war killed Freddie Gray - By Zohara Meyerhoff Hieronimus http://t.co/1KclwIvYMh"
"120",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"121",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"122",0,"How Peaceful Protest becomes Riot: http://t.co/tzpH1UPtlK #Baltimore #BaltimoreUprising #OneBaltimore #FreddieGray http://t.co/0Ik8h68PcT"
"123",0,"RT @deray: Today's @BaltimoreSun cover. Tuesday. #FreddieGray #BaltimoreUprising http://t.co/bI1bcfreRT"
"124",0,"Sisters workin it out! #BaltimoreUprising #Baltimore #BMore #BeMore4TheChildren.."
"125",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"126",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"127",0,"RT @MaybachMusicGrp: TeamRT: icon @Wale visits Baltimore school following riots #BaltimoreRiots #BaltimoreUprising http://t.co/erapAcXHfO h…"
"128",-4,"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…"
"129",0,"RT @jusPlainNish: ""@FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/7sLpaBGs1f"" &lt;----- This Is E…"
"130",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"131",0,"Obama talks Baltimore during last Letterman appearance http://t.co/G7ggsl9YEC #GOP #BaltimoreUprising #politics #teaparty #WakeUpAmerica"
"132",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"133",1,"RT @righttoprotest: couple of hundred gathered now outside the US embassy in London for solidarity demo with #BaltimoreUprising http://t.co…"
"134",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"135",0,"RT Spread #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"136",0,"* #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/IdCnYg0kEx *"
"137",0,"#Baltimore #FreddieGray #BaltimoreRiots #BaltimoreUprising #BlackLivesMatter"
"138",0,"#BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/Sy7aUVT3fw"
"139",0,"Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/0F0NMGayAA Please RT #Baltimore"
"140",0,"#BaltimoreRiots #BaltimoreUprising #BlackLivesMatter Please RT"
"141",0,"RT @jusPlainNish: ""@FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/7sLpaBGs1f"" &lt;----- This Is E…"
